,Hazardous,FIPS,hazmat_count
0,"50A Brigham Street, Marlborough, MA 01752",25017321300,0.25
1,"252 Salem Street, Woburn, MA 01801",25017333501,0.25
2,"224 E Main St, West Brookfield, MA 01585",25027724100,0.25
3,"90 Rabbit Road, Salisbury, MA 01952",25009267102,0.25
4,"345 W. Main Street, Northborough, MA 01532",25027740102,0.25
5,"263 Howard Street, Lowell, MA 01851",25017311800,0.25
6,"385 Quincy Avenue, Braintree, MA 02184",25021419400,0.25
7,"100 Woodlawn Avenue, Pittsfield, MA 01201-3678",25003900200,0.25
8,"1771 Washington Street, Stoughton, MA 02072",25021456402,0.25
9,"730 Worcester Street, Indian Orchard, MA 01157",25013800202,0.25
10,"441R Canton Street, Stoughton, MA 02072",25021456301,0.25
11,"651 Lake Street, Shrewsbury, MA 01545",25027739100,0.25
12,"1075 Airport Road, Fall River, MA 02723",25005642500,0.25
13,"230 Great Western Road, South Dennis, MA 02660",25001012001,0.25
14,"1801 East Street, Pittsfield, MA 01201",25003935200,0.25
15,"1101 Turnpike Street, Stoughton, MA 02072",25021456200,0.25
16,"22 Industry Road, Chicopee, MA 01020",25013810601,0.25
17,"1471 Methuen Street, Dracut, MA 01826",25017314302,0.25
18,"90 Pleasant Street, West Bridgewater, MA 02379",25023524101,0.25
